ID,ZipCode,State,County,Region,RegionID,RegionName,Pop,Modified,Lat,Lon
18426,44021,OH,OH_Geauga,OH_Geauga,1512,OH_Geauga,8078,NULL,41.44584,-81.149639
18427,44022,OH,OH_Cuyahoga,OH_Cuyahoga,1191,OH_Cuyahoga,16880,NULL,41.448191,-81.403692
18428,44023,OH,OH_Geauga,OH_Geauga,1512,OH_Geauga,15700,NULL,41.387265,-81.308901
18429,44024,OH,OH_Geauga,OH_Geauga,1512,OH_Geauga,23729,NULL,41.575659,-81.191729
18430,44026,OH,OH_Geauga,OH_Geauga,1512,OH_Geauga,12082,NULL,41.532342,-81.331513
18431,44028,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,8699,NULL,41.312008,-81.941696
18432,44030,OH,OH_Ashtabula,OH_Ashtabula,589,OH_Ashtabula,16094,NULL,41.897113,-80.582079
18433,44032,OH,OH_Ashtabula,OH_Ashtabula,589,OH_Ashtabula,1746,NULL,41.670514,-80.657813
18434,44033,OH,OH_Geauga,OH_Geauga,1512,OH_Geauga,-99,NULL,41.53279,-81.114876
18435,44035,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,66264,NULL,41.364303,-82.130479
18436,44036,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,-99,NULL,41.370316,-82.096356
18437,44039,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,25925,NULL,41.385603,-82.01933
18438,44040,OH,OH_Cuyahoga,OH_Cuyahoga,1191,OH_Cuyahoga,3242,NULL,41.532381,-81.411276
18439,44041,OH,OH_Ashtabula,OH_Ashtabula,589,OH_Ashtabula,15004,NULL,41.780168,-80.954676
18440,44044,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,16419,NULL,41.263714,-82.039237
18441,44045,OH,OH_Lake,OH_Lake,2048,OH_Lake,-99,NULL,41.734757,-81.280985
18442,44046,OH,OH_Geauga,OH_Geauga,1512,OH_Geauga,1764,NULL,41.534768,-81.055471
18443,44047,OH,OH_Ashtabula,OH_Ashtabula,589,OH_Ashtabula,9927,NULL,41.715048,-80.737534
18444,44048,OH,OH_Ashtabula,OH_Ashtabula,589,OH_Ashtabula,2655,NULL,41.845377,-80.640936
18445,44049,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,-99,NULL,41.170715,-82.218897
